S 644298,4 hit 
S 644398,4 hit 
S 644498,4 hit 
S 644598,4 hit 
L 6080a0,4 miss eviction 
L 6080a4,4 hit 
L 6080a8,4 hit 
L 6080ac,4 hit 
S 64429c,4 hit 
S 64439c,4 hit 
S 64449c,4 hit 
S 64459c,4 hit 
L 6041b0,4 miss eviction 
L 6041b4,4 hit 
L 6041b8,4 hit 
L 6041bc,4 hit 
S 6445a0,4 miss eviction 
S 6446a0,4 miss eviction 
S 6447a0,4 miss eviction 
S 6448a0,4 miss eviction 
L 6042b0,4 miss eviction 
L 6042b4,4 hit 
L 6042b8,4 hit 
L 6042bc,4 hit 
S 6445a4,4 hit 
S 6446a4,4 miss eviction 
S 6447a4,4 hit 
S 6448a4,4 hit 
L 6043b0,4 miss eviction 
L 6043b4,4 hit 
L 6043b8,4 hit 
L 6043bc,4 hit 
S 6445a8,4 hit 
S 6446a8,4 hit 
S 6447a8,4 miss eviction 
S 6448a8,4 hit 
L 6044b0,4 miss eviction 
L 6044b4,4 hit 
L 6044b8,4 hit 
L 6044bc,4 hit 
S 6445ac,4 hit 
S 6446ac,4 hit 
S 6447ac,4 hit 
S 6448ac,4 miss eviction 
L 6045b0,4 miss eviction 
L 6045b4,4 hit 
L 6045b8,4 hit 
L 6045bc,4 hit 
S 6445b0,4 miss eviction 
S 6446b0,4 hit 
S 6447b0,4 hit 
S 6448b0,4 hit 
L 6046b0,4 miss eviction 
L 6046b4,4 hit 
L 6046b8,4 hit 
L 6046bc,4 hit 
S 6445b4,4 hit 
S 6446b4,4 miss eviction 
S 6447b4,4 hit 
S 6448b4,4 hit 
L 6047b0,4 miss eviction 
L 6047b4,4 hit 
L 6047b8,4 hit 
L 6047bc,4 hit 
S 6445b8,4 hit 
S 6446b8,4 hit 
S 6447b8,4 miss eviction 
S 6448b8,4 hit 
L 6048b0,4 miss eviction 
L 6048b4,4 hit 
L 6048b8,4 hit 
L 6048bc,4 hit 
S 6445bc,4 hit 
S 6446bc,4 hit 
S 6447bc,4 hit 
S 6448bc,4 miss eviction 
L 6049b0,4 miss eviction 
L 6049b4,4 hit 
L 6049b8,4 hit 
L 6049bc,4 hit 
S 6445c0,4 miss eviction 
S 6446c0,4 miss eviction 
S 6447c0,4 miss eviction 
S 6448c0,4 miss eviction 
L 604ab0,4 miss eviction 
L 604ab4,4 hit 
L 604ab8,4 hit 
L 604abc,4 hit 
S 6445c4,4 hit 
S 6446c4,4 hit 
S 6447c4,4 hit 
S 6448c4,4 hit 
L 604bb0,4 miss eviction 
L 604bb4,4 hit 
L 604bb8,4 hit 
L 604bbc,4 hit 
S 6445c8,4 hit 
S 6446c8,4 hit 
S 6447c8,4 hit 
S 6448c8,4 hit 
L 604cb0,4 miss eviction 
L 604cb4,4 hit 
L 604cb8,4 hit 
L 604cbc,4 hit 
S 6445cc,4 hit 
S 6446cc,4 hit 
S 6447cc,4 hit 
S 6448cc,4 hit 
L 604db0,4 miss eviction 
L 604db4,4 hit 
L 604db8,4 hit 
L 604dbc,4 hit 
S 6445d0,4 hit 
S 6446d0,4 hit 
S 6447d0,4 hit 
S 6448d0,4 hit 
L 604eb0,4 miss eviction 
L 604eb4,4 hit 
L 604eb8,4 hit 
L 604ebc,4 hit 
S 6445d4,4 hit 
S 6446d4,4 hit 
S 6447d4,4 hit 
S 6448d4,4 hit 
L 604fb0,4 miss eviction 
L 604fb4,4 hit 
L 604fb8,4 hit 
L 604fbc,4 hit 
S 6445d8,4 hit 
S 6446d8,4 hit 
S 6447d8,4 hit 
S 6448d8,4 hit 
L 6050b0,4 miss eviction 
L 6050b4,4 hit 
L 6050b8,4 hit 
L 6050bc,4 hit 
S 6445dc,4 hit 
S 6446dc,4 hit 
S 6447dc,4 hit 
S 6448dc,4 hit 
L 6051b0,4 miss eviction 
L 6051b4,4 hit 
L 6051b8,4 hit 
L 6051bc,4 hit 
S 6445e0,4 miss eviction 
S 6446e0,4 miss eviction 
S 6447e0,4 miss eviction 
S 6448e0,4 miss eviction 
L 6052b0,4 miss eviction 
L 6052b4,4 hit 
L 6052b8,4 hit 
L 6052bc,4 hit 
S 6445e4,4 hit 
S 6446e4,4 hit 
S 6447e4,4 hit 
S 6448e4,4 hit 
L 6053b0,4 miss eviction 
L 6053b4,4 hit 
L 6053b8,4 hit 
L 6053bc,4 hit 
S 6445e8,4 hit 
S 6446e8,4 hit 
S 6447e8,4 hit 
S 6448e8,4 hit 
L 6054b0,4 miss eviction 
L 6054b4,4 hit 
L 6054b8,4 hit 
L 6054bc,4 hit 
S 6445ec,4 hit 
S 6446ec,4 hit 
S 6447ec,4 hit 
S 6448ec,4 hit 
L 6055b0,4 miss eviction 
L 6055b4,4 hit 
L 6055b8,4 hit 
L 6055bc,4 hit 
S 6445f0,4 hit 
S 6446f0,4 hit 
S 6447f0,4 hit 
S 6448f0,4 hit 
L 6056b0,4 miss eviction 
L 6056b4,4 hit 
L 6056b8,4 hit 
L 6056bc,4 hit 
S 6445f4,4 hit 
S 6446f4,4 hit 
S 6447f4,4 hit 
S 6448f4,4 hit 
L 6057b0,4 miss eviction 
L 6057b4,4 hit 
L 6057b8,4 hit 
L 6057bc,4 hit 
S 6445f8,4 hit 
S 6446f8,4 hit 
S 6447f8,4 hit 
S 6448f8,4 hit 
L 6058b0,4 miss eviction 
L 6058b4,4 hit 
L 6058b8,4 hit 
L 6058bc,4 hit 
S 6445fc,4 hit 
S 6446fc,4 hit 
S 6447fc,4 hit 
S 6448fc,4 hit 
L 6059b0,4 miss eviction 
L 6059b4,4 hit 
L 6059b8,4 hit 
L 6059bc,4 hit 
S 644600,4 miss eviction 
S 644700,4 miss eviction 
S 644800,4 miss eviction 
S 644900,4 miss eviction 
L 605ab0,4 miss eviction 
L 605ab4,4 hit 
L 605ab8,4 hit 
L 605abc,4 hit 
S 644604,4 hit 
S 644704,4 hit 
S 644804,4 hit 
S 644904,4 hit 
L 605bb0,4 miss eviction 
L 605bb4,4 hit 
L 605bb8,4 hit 
L 605bbc,4 hit 
S 644608,4 hit 
S 644708,4 hit 
S 644808,4 hit 
S 644908,4 hit 
L 605cb0,4 miss eviction 
L 605cb4,4 hit 
L 605cb8,4 hit 
L 605cbc,4 hit 
S 64460c,4 hit 
S 64470c,4 hit 
S 64480c,4 hit 
S 64490c,4 hit 
L 605db0,4 miss eviction 
L 605db4,4 hit 
L 605db8,4 hit 
L 605dbc,4 hit 
S 644610,4 hit 
S 644710,4 hit 
S 644810,4 hit 
S 644910,4 hit 
L 605eb0,4 miss eviction 
L 605eb4,4 hit 
L 605eb8,4 hit 
L 605ebc,4 hit 
S 644614,4 hit 
S 644714,4 hit 
S 644814,4 hit 
S 644914,4 hit 
L 605fb0,4 miss eviction 
L 605fb4,4 hit 
L 605fb8,4 hit 
L 605fbc,4 hit 
